index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",13,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,172,542,0.3173431734317343
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",13,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,87,87,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",13,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,445,445,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",13,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,113,113,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",13,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,541,628,0.8614649681528662
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",13,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,87,628,0.13853503184713375
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",13,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,445,558,0.7974910394265233
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",13,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,113,558,0.2025089605734767
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",14,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,343,449,0.7639198218262806
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",14,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,106,449,0.23608017817371937
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",14,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,113,113,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",14,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,472,472,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",14,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,101,101,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",14,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,448,561,0.7985739750445633
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",14,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,113,561,0.2014260249554367
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",14,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,472,573,0.8237347294938918
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",14,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,101,573,0.1762652705061082
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",15,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,348,474,0.7341772151898734
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",15,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,126,474,0.26582278481012656
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",15,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,101,101,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",15,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,490,490,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",15,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,103,103,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",15,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,473,574,0.8240418118466899
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",15,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,101,574,0.1759581881533101
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",15,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,490,593,0.8263069139966274
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",15,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,103,593,0.1736930860033727
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",16,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,358,498,0.7188755020080321
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",16,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,140,498,0.28112449799196787
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",16,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,101,101,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",16,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,527,527,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",16,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,91,91,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",16,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,497,598,0.8311036789297659
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",16,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,101,598,0.1688963210702341
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",16,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,527,618,0.8527508090614887
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",16,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,91,618,0.14724919093851133
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",17,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,362,520,0.6961538461538461
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",17,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,158,520,0.3038461538461538
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",17,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,91,91,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",17,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,505,505,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",17,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,93,93,1.0
